Government Level,Domain,State,county,city
County,pottercountytexasvotes.gov,TX,Potter ,
County,princegeorgescountymd.gov,MD,Prince George's ,
County,pwcva.gov,VA,Prince William ,
County,randallcounty.gov,TX,Randall ,
County,recorder.pima.gov,AZ,Pima,
County,reevescounty.org,TX,Reeves,
County,results.bernco.gov,NM,Bernalillo ,
County,results.lavote.gov,CA,Los Angeles ,
County,results.saccounty.gov,CA,Sacramento,
County,rileycountyks.gov,KS,Riley ,
County,rockinghamcountyva.gov,VA,Rockingham ,
County,rocklandcountyny.gov,NY,Rockland ,
County,saginawcounty.com,MI,Saginaw ,
County,saltlakecounty.gov,UT,Salt Lake ,
County,sanbenitocounty-ca-cre.gov,CA,San Benito ,
County,sandovalcountynm.gov,NM,Sandoval ,
County,sanmiguelcountyco.gov,CO,San Miguel ,
County,sanpatriciocountytx.gov,TX,San Patricio ,
County,santacruzcountyaz.gov,AZ,Santa Cruz ,
County,santafecountynm.gov,NM,Santa Fe ,
County,sarasotavotes.gov,FL,Sarasota ,
County,sarpy.gov,NE,Sarpy ,
County,sbcounty.gov,CA,San Bernadino ,
County,schuylkillcountypa.gov,PA,Schuylkill ,
County,sedgwickcounty.org,KS,Sedgwick ,
County,sewardcountyks.org,KS,Seward ,
County,sf.gov,CA,San Francisco ,
County,shenandoahcountyva.gov,VA,Shenandoah ,
County,sjgov.org,CA,San Joaquin ,
County,smcacre.gov,CA,San Mateo ,
County,snohomishcountywa.gov,WA,Snohomish ,
County,soecharlottecountyfl.gov,FL,Charlotte ,
County,sonomacounty.ca.gov,CA,Sonoma,
County,spokanecounty.org,WA,Spokane ,
County,spotsylvania.va.us,VA,Spotsylvania ,
County,starkcountyohio.gov,VA,Stark ,
County,stevenscoks.org,KS,Stevens ,
County,stlouiscountymo.gov,MO,St Louis ,
County,suffolkcountyny.gov,NY,Suffolk ,
County,summitcountyutah.gov,UT,Summit ,
County,taoscounty.org,NM,Taos ,
County,tarrantcountytx.gov,TX,Tarrant ,
County,tax-office.traviscountytx.gov,TX,Travis,
County,tetoncountywy.gov,WY,Teton ,
County,texas.okcounties.org,OK,Texas,
County,thurstoncountywa.gov,WA,Thurston ,
County,tnsharonwcwi.gov,WI,Sharon,
County,tomgreencountytx.gov,TX,Tom Green ,
County,tompkinscountyny.gov,NY,Tompkins ,
County,traviscountytx.gov,TX,Travis ,
County,tularecoelections.org,CA,Tulare,
County,twinfallscounty.org,ID,Twin Falls ,
County,ucnj.org,NJ,Union ,
County,uploads.rov.sbcounty.gov,CA,San Bernadino ,
County,utahcounty.gov,UT,Utah ,
County,vanburencountymi.gov,MI,Van Buren ,
County,ventura.org,CA,Ventura ,
County,villageofsharon.com,WI,Sharon,
County,vote.arlingtonva.gov,VA,Arlington,
County,vote.franklincountyohio.gov,OH,Franklin,
County,vote.indy.gov,IN,Marion,
County,vote.mahoningcountyoh.gov,OH,Mahoning,
County,vote.santaclaracounty.gov,CA,Santa Clara,
County,vote.utahcounty.gov,UT,Utah ,
County,votebradfordfl.gov,FL,Bradford ,
County,votebrevard.gov,FL,Brevard ,
County,votecitrus.gov,FL,Citrus ,
County,voteclaycountymo.gov,MO,Clay ,
County,votedenton.gov,TX,Denton ,
County,votedesoto.com,FL,De Soto,
County,votehillsborough.gov,FL,Hillsborough ,
County,votelevy.gov,FL,Levy ,
County,voteloraincountyohio.gov,OH,Lorain ,
County,votemarion.gov,FL,Marion ,
County,voteokaloosa.gov,FL,Okaloosa ,
County,voteokeechobee.gov,FL,Okeechobee ,
County,voteosceola.gov,FL,Osceola ,
County,votepalmbeach.gov,FL,Palm Beach ,
County,votepinellas.gov,FL,Pinellas ,
County,voteseminole.gov,FL,Seminole,
County,votesjc.gov,FL,St. Johns ,
County,votetravis.gov,TX,Travis ,
County,wake.gov,NC,Wake ,
County,waltoncountyga.gov,GA,Walton ,
County,washoecounty.gov,NV,Washoe ,
County,washoelife.washoecounty.gov,NV,Washoe,
County,waukeshacounty.gov,WI,Waukesha ,
County,waynecounty.com,MI,Wayne ,
County,web.culpepercounty.gov,VA,Culpeper,
County,webapp07.montcopa.org,PA,Montgomery,
County,webbcountytx.gov,TX,Webb ,
County,weberelections.gov,UT,Weber ,
County,webfiles.clarkcountynv.gov,NV,Clark,
County,weld.gov,CO,Weld ,
County,westchestergov.com,NM,Socorro,
County,westchesterlegislators.com,NY,Westchester,
County,westmilwaukee.org,WI,West Milwaukee,
County,whitmancounty.org,WA,Whitman ,
County,wilcotx.gov,TX,Williamson ,
County,willcountyclerk.gov,IL,Will ,
County,woodsoncounty.net,KS,Woodson ,
County,www2.montgomerycountymd.gov,MD,Montgomery,
County,www2.tulsacounty.org,OK,Tulsa,
County,wycovoteskck.gov,KS,Wyandotte ,
County,yakimacounty.us,WA,Yakima ,
County,yorkcountypa.gov,PA,York ,
County,yumacountyaz.gov,AZ,Yuma ,
County,accesskent.com,MI,Kent,
County,centrecountyvotes.gov,PA,Centre,
County,dupageresults.gov,IL,Dupage,
County,fremontcountyelectionsco.gov,CO,Fremont,
County,ocfelections.gov,FL,Orange,
County,ocvote.gov,CA,Orange,
County,sfgov.org,CA,San Francisco,
County,volusiaelections.gov,FL,Volusia,
County,voteindianriver.gov,FL,Indian River,
County,votewalton.gov,FL,Walton,
County,wycokck.org,KS,Wyandotte,
County,yavapaivotes.gov,AZ,Yavapai,
State,a19.asmdc.org,CA,,
State,alamosacounty.colorado.gov,CO,,
State,app.leg.wa.gov,WA,,
State,app.sos.nh.gov,NH,,
State,apps.azsos.gov,AZ,,
State,atascosacounty.texas.gov,TX,,
State,attorneygeneral.gov,PA,,
State,azcleanelections.gov,AZ,,
State,azleg.gov,AZ,,
State,azsos.gov,AZ,,
State,ballotapplication.elections.ny.gov,NY,,
State,ballottrax.coloradosos.gov,CO,,
State,boe.ohio.gov,OH,,
State,boe.ottawa.oh.gov,OH,,
State,buffalocounty.ne.gov,NE,,
State,candidateportal.servis.sos.state.nm.us,NM,,
State,chaffeeclerk.colorado.gov,CO,,
State,clark.wa.gov,WA,,
State,cochise.az.gov,AZ,,
State,codes.ohio.gov,OH,,
State,coloradosos.gov,CO,,
State,columbiana.boe.ohio.gov,OH,,
State,contracosta.ca.gov,CA,,
State,counsel.nysed.gov,NY,,
State,dakotacounty.ne.gov,NE,,
State,danville.ca.gov,CA,,
State,designegov.nebraska.gov,NE,,
State,dhs.state.il.us,IL,,
State,dlg.colorado.gov,CO,,
State,dmv.colorado.gov,CO,,
State,docs.legis.wisconsin.gov,WI,,
State,doh.wa.gov,WA,,
State,dol.wa.gov,WA,,
State,dos.elections.myflorida.com,FL,,
State,dos.fl.gov,FL,,
State,eldoradocounty.ca.gov,CA,,
State,elec.nj.gov,NJ,,
State,electionhistory.ct.gov,CT,,
State,electionresults.sos.nm.gov,NM,,
State,electionresults.sos.state.mn.us,MN,,
State,electionresults.utah.gov,UT,,
State,electionreturns.pa.gov,PA,,
State,elections.alaska.gov,AL,,
State,elections.cdn.sos.ca.gov,CA,,
State,elections.delaware.gov,DE,,
State,elections.il.gov,IL,,
State,elections.maryland.gov,MD,,
State,elections.ny.gov,NY,,
State,elections.ri.gov,RI,,
State,elections.sos.idaho.gov,ID,,
State,elections.virginia.gov,VA,,
State,elections.wi.gov,WI,,
State,electionstats.state.ma.us,MA,,
State,eresults.geauga.oh.gov,OH,,
State,es.ag.ny.gov,NY,,
State,ethics.wi.gov,WI,,
State,files.floridados.gov,FL,,
State,floridaelectionwatch.gov,FL,,
State,fortlauderdale.gov,FL,,
State,fppc.ca.gov,CA,,
State,georgia.gov,GA,,
State,gis.fortlauderdale.gov,FL,,
State,guides.sll.texas.gov,TX,,
State,hca.nm.gov,NM,,
State,historicalelectiondata.coloradosos.gov,CO,,
State,hollister.ca.gov,CA,,
State,hosting.okelections.gov,OK,,
State,housegop.delaware.gov,DE,,
State,houserepublicans.wa.gov,WA,,
State,illinois.gov,IL,,
State,in.gov,IN,,
State,indianavoters.in.gov,IN,,
State,jud.ct.gov,CT,,
State,kansas.gov,KS,,
State,kdor.ks.gov,KS,,
State,kssos.org,KS,,
State,law.lis.virginia.gov,VA,,
State,leg.colorado.gov,CO,,
State,legislature.mi.gov,MI,,
State,madisonco.virginia.gov,VA,,
State,mailballot.sos.ri.gov,RI,,
State,malegislature.gov,MA,,
State,marylandattorneygeneral.gov,MD,,
State,mass.gov,MA,,
State,michigan.gov,MI,,
State,mnvotes.sos.mn.gov,MN,,
State,mnvotes.sos.state.mn.us,MN,,
State,mvic.sos.state.mi.us,MI,,
State,mvp.sos.ga.gov,GA,,
State,myballot.coloradosos.gov,CO,,
State,myballotmn.sos.state.mn.us,MN,,
State,myvote.wi.gov,WI,,
State,ncsbe.gov,NC,,
State,nebraska.gov,NE,,
State,nj.gov,NJ,,
State,nvsos.gov,NV,,
State,ny.gov,NY,,
State,nyassembly.gov,NY,,
State,nysenate.gov,NY,,
State,ohio.gov,OH,,
State,ohiosos.gov,OH,,
State,oklahoma.gov,OK,,
State,okvoterportal.okelections.gov,OK,,
State,olvr.ohiosos.gov,OH,,
State,opendata.dc.gov,DC,,
State,oregonlegislature.gov,OR,,
State,ova.elections.il.gov,IL,,
State,pa.gov,PA,,
State,pavoterservices.pa.gov,PA,,
State,phillipscounty.colorado.gov,CO,,
State,pollfinder.sos.state.mn.us,MN,,
State,portal.ct.gov,CT,,
State,portal.sos.state.nm.us,NM,,
State,portaldir.ct.gov,CT,,
State,publicreporting.elections.ny.gov,NY,,
State,registertovote.ca.gov,CA,,
State,registertovoteflorida.gov,FL,,
State,registration.elections.myflorida.com,FL,,
State,results.elections.myflorida.com,FL,,
State,results.okelections.gov,OK,,
State,ri.gov,RI,,
State,riograndecounty.colorado.gov,CO,,
State,s1.sos.mo.gov,MO,,
State,scvotes.gov,SC,,
State,sd02.senate.ca.gov,CA,,
State,sd15.senate.ca.gov,CA,,
State,sd39.senate.ca.gov,CA,,
State,sdsos.gov,SD,,
State,sec.state.ma.us,MA,,
State,secure.utah.gov,UT,,
State,securemyabsenteeballot.sos.ga.gov,GA,,
State,seec.ct.gov,CT,,
State,senate.texas.gov,TX,,
State,senatedemocrats.wa.gov,WA,,
State,senatedems.ct.gov,CT,,
State,senatedems.delaware.gov,DE,,
State,servicearizona.com,AZ,,
State,silverstateelection.nv.gov,NY,,
State,sjc.utah.gov,UT,,
State,sos.alabama.gov,AL,,
State,sos.arkansas.gov,AK,,
State,sos.ca.gov,CA,,
State,sos.ga.gov,GA,,
State,sos.idaho.gov,ID,,
State,sos.iowa.gov,IA,,
State,sos.ks.gov,KS,,
State,sos.la.gov,LA,,
State,sos.mo.gov,MO,,
State,sos.nebraska.gov,NE,,
State,sos.nh.gov,NH,,
State,sos.nm.gov,NM,,
State,sos.oregon.gov,OR,,
State,sos.state.co.us,CO,,
State,sos.state.mn.us,MN,,
State,sos.state.oh.us,OH,,
State,sos.texas.gov,TX,,
State,sos.tn.gov,TN,,
State,sos.wa.gov,WA,,
State,sos.wyo.gov,WY,,
State,spanish-ova.elections.il.gov,IL,,
State,srca.nm.gov,NM,,
State,statutes.capitol.texas.gov,TX,,
State,teamrv-mvp.sos.texas.gov,TX,,
State,texas.gov,TX,,
State,townofrochester.ny.gov,NY,,
State,tracer.sos.colorado.gov,CO,,
State,trackmyballot.nj.gov,NJ,,
State,utah.gov,UT,,
State,valverdecounty.texas.gov,TX,,
State,vig.cdn.sos.ca.gov,CA,,
State,vote.elections.virginia.gov,VA,,
State,vote.sos.ri.gov,RI,,
State,vote.utah.gov,UT,,
State,voteidaho.gov,ID,,
State,voter.svrs.nj.gov,NJ,,
State,voter.votewa.gov,WA,,
State,votercheck.necvr.ne.gov,NE,,
State,voterguide.sos.ca.gov,CA,,
State,voterlookup.elections.ny.gov,NY,,
State,voterlookup.ohiosos.gov,OH,,
State,voteroutreach.sos.mo.gov,MO,,
State,voterportal.servis.sos.state.nm.us,NM,,
State,voterservices.elections.maryland.gov,MD,,
State,votersguide.elections.il.gov,IL,,
State,voterstatus.sos.ca.gov,CA,,
State,votesearch.utah.gov,UT,,
State,votetexas.gov,TX,,
State,vrems.scvotes.sc.gov,SC,,
State,vt.ncsbe.gov,NC,,
State,web.go-vote-tn.elections.tn.gov,TN,,
State,westjordan.utah.gov,UT,,
State,westmont.illinois.gov,IL,,
State,wisconsindot.gov,WI,,
Federal,about.usps.com,,,
Federal,ada.gov,,,
Federal,amview.japan.usembassy.gov,,,
Federal,congress.gov,,,
Federal,democrats.senate.gov,,,
Federal,eac.gov,,,
Federal,eeoc.gov,,,
Federal,energycommerce.house.gov,,,
Federal,fec.gov,,,
Federal,fvap.gov,,,
Federal,gop.gov,,,
Federal,hankjohnson.house.gov,,,
Federal,house.gov,,,
Federal,irs.gov,,,
Federal,judiciary.house.gov,,,
Federal,kz.usembassy.gov,,,
Federal,loc.gov,,,
Federal,ncbi.nlm.nih.gov,,,
Federal,nlrb.gov,,,
Federal,nz.usembassy.gov,,,
Federal,padilla.senate.gov,,,
Federal,postalmuseum.si.edu,,,
Federal,pressgallery.house.gov,,,
Federal,republicanleader.senate.gov,,,
Federal,rferl.org,,,
Federal,scott.senate.gov,,,
Federal,secretservice.gov,,,
Federal,senate.gov,,,
Federal,share.america.gov,,,
Federal,spanberger.house.gov,,,
Federal,state.gov,,,
Federal,sv.usembassy.gov,,,
Federal,transition.fec.gov,,,
Federal,usa.gov,,,
Federal,uscis.gov,,,
Federal,uscode.house.gov,,,
Federal,voanews.com,,,
Federal,vote.gov,,,
Federal,whitehouse.gov,,,
Federal,constitutioncenter.org,,,
Federal,redcross.org,,,
Federal,usip.org,,,
