Government Level,Domain,State,county,city
County,co.andrews.tx.us,TX,Andrews,
County,co.bailey.tx.us,TX,Bailey,
County,co.castro.tx.us,TX,Castro,
County,co.crockett.tx.us,TX,Crockett,
County,co.dawson.tx.us,TX,Dawson,
County,co.deaf-smith.tx.us,TX,Deaf Smith,
County,co.ector.tx.us,TX,Ector,
County,co.edwards.tx.us,TX,Edwards,
County,co.floyd.tx.us,TX,Floyd,
County,co.frio.tx.us,TX,Frio,
County,co.gonzales.tx.us,TX,Gonzales,
County,co.hidalgo.tx.us,TX,Hidalgo,
County,co.hockley.tx.us,TX,Hockley,
County,co.jim-hogg.tx.us,TX,Jim Hogg,
County,co.kleberg.tx.us,TX,Kleberg,
County,co.la-salle.tx.us,TX,La Salle,
County,co.lamb.tx.us,TX,Lamb,
County,co.moore.tx.us,TX,Moore,
County,co.ochiltree.tx.us,TX,Ochiltree,
County,co.pecos.tx.us,TX,Pecos,
County,co.presidio.tx.us,TX,Presidio,
County,co.sanmiguel.nm.us,NM,San Miguel,
County,co.sherman.tx.us,TX,Sherman,
County,co.starr.tx.us,TX,Starr,
County,co.terry.tx.us,TX,Terry,
County,co.titus.tx.us,TX,Titus,
County,co.ward.tx.us,TX,Ward,
County,co.winkler.tx.us,TX,Winkler,
County,co.zapata.tx.us,TX,Zapata,
County,co.zavala.tx.us,TX,Zavala,
County,cobbcounty.org,GA,Cobb ,
County,colliervotes.gov,FL,Collier,
County,collincountytx.gov,TX,Collin ,
County,contracostavote.gov,CA,Contra Costa ,
County,cookcountyclerkil.gov,IL,Cook ,
County,cookcountyil.gov,IL,Cook ,
County,county.pueblo.org,CO,Pueblo,
County,countyclerk.traviscountytx.gov,TX,Travis,
County,county.milwaukee.gov,WI,Milwaukee,
County,countynewscenter.com,CA,San Diego ,
County,countyofcolusaca.gov,CA,Colusa ,
County,countyofglenn.net,CA,Glenn,
County,countyofkingsca.gov,CA,Kings ,
County,countyofmerced.com,CA,Merced,
County,countyofmonterey.gov,CA,Monterey,
County,countyofnapa.org,CA,Napa,
County,countyofsb.org,CA,Santa Barbara ,
County,cowleycountyks.gov,KS,Cowley ,
County,cp4.harriscountytx.gov,TX,Harris,
County,cumberlandcountypa.gov,CA,Cumberland ,
County,cumberlandcountyvotes.com,NJ,Cumberland,
County,currycountynm.gov,NM,Curry ,
County,dallascountyvotes.org,TX,Dallas,
County,daviscountyutah.gov,UT,Davis ,
County,dcovotes.dconc.gov,NC,Durham,
County,dekalbcountyga.gov,GA,DeKalb ,
County,delcopa.gov,PA,Delaware ,
County,denvergov.org,CO,Denver,
County,dgcoks.gov,KS,Douglas ,
County,donaanacounty.org,NM,Doña Ana ,
County,douglascountywa.net,WA,Douglas ,
County,douglascountywi.gov,WI,Douglas ,
County,dupagecounty.gov,IL,DuPage ,
County,duvalelections.gov,FL,Duval ,
County,eauclairecounty.gov,WI,Eau Claire ,
County,electionmapping.ocgov.com,CA,Orange,
County,elections.bcohio.gov,OH,Butler,
County,elections.calaverasgov.us,CA,Calaveras,
County,elections.carrollcountymd.gov,MD,Carroll,
County,elections.countyofdane.com,WI,Dane,
County,elections.erie.gov,NY,Erie,
County,elections.inyocounty.us,CA,Inyo,
County,elections.maricopa.gov,AZ,Maricopa,
County,elections.saccounty.gov,CA,Sacramento,
County,elections.sbcounty.gov,CA,San Bernadino,
County,elections.ulstercountyny.gov,NY,Ulster,
County,engage.buncombecounty.org,NC,Buncombe,
County,es.stlouiscountymo.gov,MO,St Louis,
County,essexboardofelections.com,NJ,Essex,
County,essexclerk.com,NJ,Essex,
County,fairfaxcounty.gov,VA,Fairfax ,
County,fauquiercounty.gov,VA,Fauquier ,
County,fcva.us,VA,Frederick ,
County,finneycounty.org,KS,Finney ,
County,fordcounty.net,KS,Ford ,
County,fortbendcountytx.gov,TX,Fort Bend ,
County,franklincoks.org,KS,Franklin ,
County,franklincountywa.gov,WA,Franklin,
County,frederickcountymd.gov,MD,Frederick ,
County,fresnocountyca.gov,CA,Fresno ,
County,fultoncountyga.gov,GA,Fulton ,
County,garfield-county.com,CO,Garfield ,
County,gis-portal.sandiegocounty.gov,CA,San Diego,
County,gis3.montgomerycountymd.gov,MD,Montgomery,
County,gismaps.fultoncountyga.gov,GA,Fulton ,
County,gloucestercountynj.gov,NJ,Gloucester ,
County,gonzales.texas.gov,TX,Gonzales,
County,grandcountyutah.net,UT,Grand ,
County,grantcountywa.gov,WA,Grant ,
County,gwinnettcounty.com,GA,Gwinnett ,
County,hanovercounty.gov,VA,Hanover ,
County,hendryelections.org,FL,Hendry,
County,henrycty.com,IL,Henry ,
County,hernandovotes.gov,FL,Hernando ,
County,hhs.cuyahogacounty.gov,OH,Cuyahoga,
County,home.bexar.org,TX,Bexar,
County,howardcountymd.gov,MD,Howard ,
County,hudsoncountyclerk.org,NJ,Hudson,
County,idahocounty.org,ID,Idaho ,
County,imperialcounty.org,CA,Imperial,
County,info.kingcounty.gov,WA,King,
County,iredellcountync.gov,NC,Iredell ,
County,isb.lavote.gov,CA,Los Angeles ,
County,islandcountywa.gov,WA,Island ,
County,jacksoncountygov.com,GA,Jackson ,
County,jamescitycountyva.gov,VA,James  ,
County,jeffco.us,CO,Jefferson ,
County,kalcounty.com,MI,Kalamazoo ,
County,kendallcountyil.gov,IL,Kendall ,
County,kendallcountytx.gov,TX,Kendall ,
County,kerncounty.com,CA,Kern,
County,kingcounty.gov,WA,King ,
County,kinggeorgecountyva.gov,VA,King George ,
County,kitsap.gov,WA,Kitsap ,
County,knoxcountytexas.org,TX,Knox,
County,lacounty.gov,CA,Los Angeles ,
County,lacrossecounty.org,WI,Lacrosse ,
County,lakecountyil.gov,IL,Lake ,
County,lakecountyohio.gov,OH,Lake ,
County,lakevotes.gov,FL,Lake ,
County,lancastercountypa.gov,PA,Lancaster ,
County,lapaz.gov,AZ,La Paz ,
County,larimer.gov,CO,Larimer ,
County,lavote.gov,CA,Los Angeles ,
County,leacounty.net,NM,Lea ,
County,lee.vote,FL,Lee,
County,legacy.recorder.maricopa.gov,AZ,Maricopa,
County,lehighcounty.org,PA,Lehigh ,
County,livingstoncountyny.gov,NY,Livingston ,
County,locator.lavote.gov,CA,Los Angeles ,
County,losalamosnm.us,NM,Los Alamos ,
County,loudoun.gov,VA,Loudoun ,
